Transaction_ID,Facility_ID,Vehicle_Type,Customer_Type,Entry_Date,Entry_Hour,Parking_Duration_Min,Payment_Method,Payment_Status,Parking_Type,Hourly_Rate,Discount_Amount,Net_Revenue,Occupancy_Rate
PT100001,F007,Car,Member,2025-05-30,8,261,Credit Card,Paid,Open,50,21.25,212.5,0.62
PT100002,F004,Bike,Member,2025-11-03,8,57,Debit Card,Paid,Two-Wheeler,25,0.0,20.0,0.62
PT100003,F005,SUV,Regular,2025-12-13,14,23,Credit Card,Paid,Covered,65,9.75,65.0,0.71
PT100004,F007,Car,Visitor,2025-07-18,12,145,UPI,Paid,Open,50,7.5,150.0,0.49
PT100005,F003,SUV,Regular,2025-06-13,15,60,UPI,Paid,Open,65,0.0,65.0,0.28
PT100006,F008,Car,Member,2025-07-01,14,79,UPI,Paid,Covered,50,19.0,95.0,0.45
PT100007,F005,SUV,Member,2025-08-28,7,42,UPI,Pending,Covered,65,6.5,65.0,0.43
PT100008,F005,SUV,Member,2025-08-30,15,99,Credit Card,Paid,Covered,65,12.35,123.5,0.64
PT100009,F007,Car,Member,2025-03-07,11,91,Credit Card,Paid,Open,50,0.0,100.0,0.59
PT100010,F002,Bike,Member,2025-06-20,12,235,UPI,Paid,Two-Wheeler,25,0.0,100.0,0.54
PT100011,F003,Car,Visitor,2025-05-13,16,26,UPI,Paid,Covered,50,0.0,50.0,0.42
PT100012,F007,SUV,Regular,2025-03-22,16,136,UPI,Paid,Open,65,29.25,195.0,0.26
PT100013,F003,Bike,Regular,2025-06-14,12,139,Wallet,Paid,Two-Wheeler,25,3.75,75.0,0.73
PT100014,F003,Bike,Member,2025-03-04,8,161,Credit Card,Paid,Two-Wheeler,25,6.38,63.75,0.78
PT100015,F008,Car,Member,2025-12-21,16,151,Cash,Paid,Open,50,0.0,150.0,0.75
PT100016,F005,Car,Regular,2025-02-20,18,119,Cash,Paid,Covered,50,0.0,100.0,0.83
PT100017,F004,Car,Visitor,2025-03-13,20,243,Credit Card,Pending,Covered,50,11.88,237.5,0.63
PT100018,F008,Car,Regular,2025-02-12,12,104,Debit Card,Paid,Covered,50,0.0,95.0,0.6
PT100019,F008,Bike,Visitor,2025-11-19,9,80,UPI,Paid,Two-Wheeler,25,5.0,50.0,0.58
PT100020,F003,SUV,Regular,2025-11-17,19,333,Debit Card,Paid,Covered,65,19.5,390.0,0.51
PT100021,F006,Bike,Member,2025-11-14,13,44,UPI,Paid,Two-Wheeler,25,2.38,23.75,0.63
PT100022,F005,Bike,Member,2025-08-04,9,101,Cash,Paid,Two-Wheeler,25,0.0,45.0,0.68
PT100023,F002,EV Car,Regular,2025-07-10,14,65,UPI,Paid,EV Parking,55,18.7,93.5,0.72
PT100024,F008,SUV,Regular,2025-06-07,10,47,Debit Card,Paid,Open,65,9.26,61.75,0.62
PT100025,F004,EV Car,Member,2025-03-31,12,218,UPI,Paid,EV Parking,55,22.0,220.0,0.77
PT100026,F006,Bike,Regular,2025-04-14,12,26,Cash,Paid,Two-Wheeler,25,0.0,20.0,0.68
PT100027,F006,Car,Regular,2025-02-20,21,274,UPI,Paid,Covered,50,0.0,250.0,0.62
PT100028,F002,Car,Visitor,2025-09-11,15,64,Debit Card,Paid,Open,50,0.0,100.0,0.49
PT100029,F008,SUV,Member,2025-04-17,14,198,Credit Card,Pending,Covered,65,0.0,260.0,0.55
PT100030,F004,Car,Member,2025-10-21,14,175,UPI,Paid,Open,50,7.5,150.0,0.67
PT100031,F005,Car,Regular,2025-08-24,14,64,Debit Card,Pending,Covered,50,10.0,100.0,0.57
PT100032,F001,Bike,Regular,2025-11-19,18,227,Wallet,Paid,Two-Wheeler,25,20.0,100.0,0.91
PT100033,F004,Bike,Regular,2025-11-29,10,73,UPI,Paid,Two-Wheeler,25,0.0,47.5,0.82
PT100034,F002,Bike,Visitor,2025-12-22,14,249,Wallet,Paid,Two-Wheeler,25,0.0,118.75,0.44
PT100035,F006,Car,Regular,2025-04-15,12,109,Credit Card,Paid,Covered,50,0.0,100.0,0.78
PT100036,F005,Car,Regular,2025-09-12,14,227,,Paid,Covered,50,0.0,200.0,0.8
PT100037,F004,Bike,Member,2025-10-31,14,84,UPI,Paid,Two-Wheeler,25,0.0,50.0,0.71
PT100038,F001,EV Car,Regular,2025-01-20,7,379,Credit Card,Paid,EV Parking,55,0.0,385.0,0.55
PT100039,F001,SUV,Regular,2025-12-25,14,288,Cash,Paid,Open,65,0.0,325.0,0.51
PT100040,F003,EV Car,Regular,2025-03-13,15,122,UPI,Paid,EV Parking,55,7.42,148.5,0.68
PT100041,F003,SUV,Visitor,2025-04-27,11,87,Credit Card,Paid,Open,65,0.0,130.0,0.5
PT100042,F007,Bike,Regular,2025-05-10,9,22,UPI,Paid,Two-Wheeler,25,2.5,25.0,0.6
PT100043,F002,Car,Regular,2025-04-30,11,173,UPI,Paid,Open,50,14.25,142.5,0.49
PT100044,F008,Bike,Member,2025-08-01,15,113,Debit Card,Paid,Two-Wheeler,25,0.0,40.0,0.65
PT100045,F004,Bike,Member,2025-08-17,13,80,Debit Card,Paid,Two-Wheeler,25,5.0,50.0,0.56
PT100046,F004,Bike,Member,2025-07-02,18,115,Credit Card,Paid,Two-Wheeler,25,5.0,50.0,0.78
PT100047,F008,Bike,Member,2025-05-14,12,120,UPI,Paid,Two-Wheeler,25,0.0,50.0,0.41
PT100048,F007,Bike,Regular,2025-12-05,12,30,Credit Card,Paid,Two-Wheeler,25,0.0,25.0,0.32
PT100049,F006,Car,Member,2025-08-19,14,427,UPI,Paid,Covered,50,18.0,360.0,0.45
PT100050,F006,Bike,Regular,2025-12-30,13,20,Credit Card,Paid,Two-Wheeler,25,0.0,22.5,0.57
PT100051,F007,Car,Regular,2025-12-06,14,131,Cash,Paid,Covered,50,0.0,150.0,0.43
PT100052,F006,SUV,Regular,2025-09-03,12,151,Debit Card,Paid,Covered,65,0.0,175.5,0.54
PT100053,F003,Car,Regular,2025-09-09,10,82,UPI,Paid,Open,50,10.0,100.0,0.87
PT100054,F004,Car,Member,2025-08-13,17,167,Cash,Paid,Open,50,7.5,150.0,0.9
PT100055,F007,Bike,Visitor,2025-06-06,7,61,Credit Card,Paid,Two-Wheeler,25,5.0,50.0,0.55
PT100056,F004,Bike,Member,2025-04-29,12,99,Debit Card,Paid,Two-Wheeler,25,5.0,50.0,0.31
PT100057,F008,Bike,Visitor,2025-04-04,8,75,UPI,Paid,Two-Wheeler,25,0.0,42.5,0.83
PT100058,F001,Car,Member,2025-08-16,16,71,Debit Card,Paid,Covered,50,4.0,80.0,0.49
PT100059,F003,Bike,Regular,2025-12-31,12,105,UPI,Paid,Two-Wheeler,25,0.0,50.0,0.18
PT100060,F005,Car,Member,2025-07-05,7,65,Credit Card,Paid,Covered,50,0.0,95.0,0.47
PT100061,F003,EV Car,Member,2025-11-30,8,67,UPI,Paid,EV Parking,55,5.22,104.5,0.99
PT100062,F007,EV Car,Regular,2025-07-04,10,95,UPI,Paid,EV Parking,55,0.0,99.0,0.8
PT100063,F005,Bike,Regular,2025-10-07,16,186,UPI,Paid,Two-Wheeler,25,4.75,95.0,0.61
PT100064,F001,Car,Member,2025-08-18,17,187,UPI,Paid,Covered,50,20.0,200.0,0.99
PT100065,F007,SUV,Regular,2025-09-22,22,111,UPI,Paid,Covered,65,5.85,117.0,0.55
PT100066,F002,Car,Member,2025-06-07,11,219,Debit Card,Paid,Covered,50,10.0,200.0,0.53
PT100067,F004,Bike,Regular,2025-12-18,8,475,UPI,Paid,Two-Wheeler,25,8.5,170.0,0.56
PT100068,F001,Car,Visitor,2025-03-18,12,224,Credit Card,Paid,Covered,50,0.0,190.0,0.51
PT100069,F004,EV Car,Visitor,2025-03-23,10,87,UPI,Pending,EV Parking,55,0.0,110.0,0.73
